	Alicante_bouschet	Aligot	Almeria	Aramon	Bclan	Black_corinth	Burger	Cabernet_franc	Cabernet_sauvignon	Calmeria	Cardinal	Carignane	Chardonnay	Chasselas_cioutat	Chasselas_dor	Chenin_blanc	Cinsaut	Clairette_blanche	Colombard	Cornichon	Dabouki	Dattier	Durif	Emperor	Flame_tokay	Folle_blanche	Gamay_noir	Gewrtztraminer	Grand_noir	Grenache	Italia	Malbec	Mataro	Melon	Merlot	Meunier	Mller-Thurgau	Mondeuse	Muscat_blanc	Muscat_hamburg	Muscat_of_alexandria	Olivette_blanche	Olivette_noire	Perla_di_csaba	Perlette	Pinot_noir	Ribier	Saint_milion	Sauvignon_blanc	Sauvignon_vert	Smillon	Sylvaner	Syrah	Tannat	Terret_gris	Thompson_seedless	Traminer	Truosseau	White_riesling	Zinfandel
Sauvignon_vert	0.130517504	0.079971986	0.178294484	0.055851043	0.183372667	0.146104144	0.218486651	0.182707405	0.189527233	0.081389699	0.129286333	0.160528959	0.057158227	0.347708606	0.20250421	0.132649725	0.14819079	0.173760412	0.063196221	0.167227277	0.175553737	0.098707969	0.171982074	0.184299108	0.071810716	0.19697981	0.220061194	0.218187174	0.157739961	0.142725803	0.202652994	0.097824069	0.152613149	0.08931885	0.132692026	0.198021223	0.215218865	0.133877958	0.149612047	0.144845697	0.202846864	0.164199043	0.140022207	0.083565325	0.089895176	0.101809141	0.125590445	0.146798506	0.139526785	0	0.121686048	0.089229786	0.153857793	0.095119913	0.151079421	0.105439743	0.118794985	0.091439159	0.194335997	0.252867983
Smillon	0.103124848	0.133108757	0.114273395	0.121243419	0.102543161	0.13343101	0.115070876	0.101313831	0.126262222	0.090847942	0.073008034	0.133657924	0.122764122	0.269515967	0.121309599	0.105563832	0.091201976	0.120859917	0.107610443	0.078574452	0.094902732	0.096884523	0.083115157	0.137031206	0.103541043	0.112864754	0.159220418	0.175852688	0.095434125	0.136532719	0.12566248	0.091789713	0.091595321	0.112325496	0.093086707	0.108947645	0.163362006	0.084283772	0.092347313	0.082094852	0.132405504	0.090104547	0.08650231	0.123809011	0.126572768	0.107795258	0.095323553	0.100568952	0.103977731	0.121686048	0	0.144380303	0.065463389	0.08777186	0.09443025	0.111222277	0.113999533	0.135980243	0.159401726	0.223320262
Sylvaner	0.127575768	0.103455628	0.182892522	0.082449784	0.187841228	0.137142423	0.221254845	0.181110866	0.188007907	0.128058896	0.129319503	0.151632738	0.111279936	0.382640124	0.21388673	0.152622213	0.155430728	0.169964901	0.108858278	0.183236117	0.176526671	0.103025247	0.18418571	0.17766509	0.112557168	0.200813818	0.219486213	0.190334124	0.15686434	0.171409513	0.203209843	0.102457673	0.17034397	0.079790261	0.14106787	0.203552761	0.209847305	0.139727766	0.164990185	0.175325823	0.208572484	0.168184176	0.153001164	0.074074766	0.101337457	0.120326167	0.144147296	0.162758761	0.160158582	0.089229786	0.144380303	0	0.183624656	0.121541566	0.167062636	0.14456287	0.125247169	0.055528406	0.165251842	0.249307482
Syrah	0.117941919	0.156259482	0.099952234	0.158207424	0.093307787	0.151192762	0.1039358	0.095257725	0.114609312	0.105765584	0.098096294	0.132559877	0.139935915	0.228002969	0.088896469	0.100185173	0.082380904	0.108661505	0.127374158	0.064651398	0.090078561	0.117575858	0.0687074	0.128073443	0.117821542	0.110887482	0.142129531	0.197688604	0.09331	0.128126838	0.11434348	0.125885314	0.094012597	0.139054091	0.096010625	0.091804408	0.156340082	0.0886202	0.076196989	0.062420006	0.107585812	0.090526829	0.08276651	0.164066429	0.142639284	0.134392589	0.088754166	0.083405117	0.092259544	0.153857793	0.065463389	0.183624656	0	0.099239729	0.074487696	0.120432031	0.146057337	0.173984855	0.169345146	0.211468686
Tannat	0.079908749	0.090060449	0.12139454	0.107599413	0.129065639	0.111352193	0.151597319	0.122444126	0.155348286	0.075955152	0.078186472	0.145898618	0.075617094	0.294933886	0.142403698	0.118713809	0.110522612	0.117229285	0.09746122	0.119370167	0.120095488	0.060473304	0.120926779	0.140357635	0.059489558	0.136458361	0.182032141	0.170029014	0.116621234	0.140954297	0.147875672	0.071115146	0.097832644	0.073627512	0.116669501	0.139488799	0.188898768	0.078773051	0.095429669	0.085479058	0.150898424	0.098850343	0.107094521	0.108722804	0.087855228	0.071140303	0.083473162	0.110673007	0.114309022	0.095119913	0.08777186	0.121541566	0.099239729	0	0.104324821	0.08949414	0.087137022	0.112017773	0.160168512	0.241943332
Terret_gris	0.101853491	0.144851458	0.088591385	0.160123263	0.082190426	0.137359666	0.127125955	0.081032905	0.098432101	0.115039243	0.110084002	0.098565899	0.136870851	0.261069284	0.073222473	0.06744461	0.085469544	0.074384985	0.125923782	0.069621484	0.06994739	0.110050625	0.075364024	0.087965206	0.112297883	0.09922954	0.106020945	0.180108295	0.071780758	0.104623134	0.088626046	0.119764054	0.093138477	0.117438462	0.069997476	0.079014931	0.115279482	0.077131174	0.073143712	0.083811912	0.077227431	0.079920922	0.057905579	0.148609093	0.106743328	0.127552072	0.060623786	0.076941461	0.061125654	0.151079421	0.09443025	0.167062636	0.074487696	0.104324821	0	0.105198828	0.14357391	0.153317008	0.132213948	0.18583153
Thompson_seedless	0.103302102	0.110284188	0.133923738	0.121550565	0.136513942	0.132496803	0.182316281	0.134834413	0.169277353	0.077402134	0.13183779	0.155100932	0.093147077	0.303777203	0.147465759	0.108154667	0.137859028	0.130211117	0.106300546	0.126259143	0.128224202	0.098353375	0.141414382	0.130544686	0.080270484	0.142550066	0.177967331	0.181562043	0.122997036	0.128616818	0.14007798	0.098963964	0.102209025	0.094998427	0.120740395	0.142677704	0.176376052	0.101707567	0.115145677	0.10240449	0.155861845	0.107145759	0.104246971	0.120567428	0.082282844	0.083575439	0.089580959	0.124223541	0.115223826	0.105439743	0.111222277	0.14456287	0.120432031	0.08949414	0.105198828	0	0.104451479	0.126433507	0.165805145	0.246354479
Traminer	0.081249956	0.087948165	0.143585812	0.126298103	0.154100667	0.091775826	0.17407582	0.13687531	0.191871504	0.115268768	0.105230313	0.177237033	0.104677835	0.334594538	0.173848157	0.14781809	0.155042059	0.141984891	0.137605384	0.145195321	0.134141723	0.079421309	0.147028401	0.160528881	0.102379759	0.13617255	0.21138972	0.126272857	0.146046985	0.178970194	0.150215278	0.072869293	0.118528385	0.082049256	0.154252918	0.153023874	0.203606556	0.118584714	0.133454067	0.130372673	0.183104067	0.110448257	0.143492095	0.095308017	0.11746793	0.041519961	0.115620924	0.161244041	0.145474141	0.118794985	0.113999533	0.125247169	0.146057337	0.087137022	0.14357391	0.104451479	0	0.103650415	0.156199349	0.284547724
Truosseau	0.103479531	0.092706277	0.164832341	0.094237191	0.170965501	0.109075949	0.208754237	0.168385213	0.185781032	0.124955801	0.123082055	0.149433734	0.106563983	0.36900709	0.202589085	0.143405979	0.149809677	0.153429529	0.119906956	0.166347056	0.161112695	0.082471122	0.172875486	0.164271267	0.098652411	0.182749397	0.211080536	0.172041625	0.148380776	0.163067307	0.183611926	0.098093408	0.156078036	0.068124896	0.136753009	0.185940104	0.199781727	0.133436342	0.147245244	0.162070521	0.192408595	0.150579877	0.139298843	0.076219388	0.088986147	0.099505255	0.126805279	0.159665557	0.146940921	0.091439159	0.135980243	0.055528406	0.173984855	0.112017773	0.153317008	0.126433507	0.103650415	0	0.149463757	0.249144313
White_riesling	0.10424383	0.164880833	0.106884492	0.193146847	0.113152545	0.114879142	0.161541408	0.104885154	0.143003036	0.182447515	0.133742877	0.117526824	0.183011258	0.329884433	0.141804517	0.148883319	0.13204443	0.086638783	0.192354641	0.135443365	0.106698558	0.129691206	0.144067292	0.087838207	0.170194456	0.127865657	0.136973377	0.131479751	0.116172049	0.186246522	0.118202405	0.138632571	0.15465412	0.122484528	0.131276214	0.129623801	0.121600712	0.121124728	0.12164726	0.157165244	0.129576717	0.128471636	0.129987371	0.164491433	0.151505185	0.153852694	0.120372206	0.140037872	0.142212217	0.194335997	0.159401726	0.165251842	0.169345146	0.160168512	0.132213948	0.165805145	0.156199349	0.149463757	0	0.217245606
Zinfandel	0.243268454	0.26317773	0.216910088	0.246414512	0.19375342	0.260688297	0.244702765	0.203469846	0.122634416	0.231978718	0.228311297	0.139278085	0.248272346	0.310244402	0.187173062	0.17730153	0.189525458	0.201171236	0.22183373	0.194423397	0.198337038	0.232317818	0.189703925	0.191422521	0.240870037	0.244017798	0.138436442	0.303258462	0.18647832	0.182410954	0.214289203	0.253066457	0.227515512	0.234208573	0.155621105	0.218691821	0.146620148	0.208823064	0.208546505	0.228664774	0.165036322	0.234562401	0.179648414	0.246792439	0.218318095	0.263875207	0.198933484	0.165530473	0.178454099	0.252867983	0.223320262	0.249307482	0.211468686	0.241943332	0.18583153	0.246354479	0.284547724	0.249144313	0.217245606	0
