	Alicante_bouschet	Aligot	Almeria	Aramon	Bclan	Black_corinth	Burger	Cabernet_franc	Cabernet_sauvignon	Calmeria	Cardinal	Carignane	Chardonnay	Chasselas_cioutat	Chasselas_dor	Chenin_blanc	Cinsaut	Clairette_blanche	Colombard	Cornichon	Dabouki	Dattier	Durif	Emperor	Flame_tokay	Folle_blanche	Gamay_noir	Gewrtztraminer	Grand_noir	Grenache	Italia	Malbec	Mataro	Melon	Merlot	Meunier	Mller-Thurgau	Mondeuse	Muscat_blanc	Muscat_hamburg	Muscat_of_alexandria	Olivette_blanche	Olivette_noire	Perla_di_csaba	Perlette	Pinot_noir	Ribier	Saint_milion	Sauvignon_blanc	Sauvignon_vert	Smillon	Sylvaner	Syrah	Tannat	Terret_gris	Thompson_seedless	Traminer	Truosseau	White_riesling	Zinfandel
Grenache	0.155184473	0.164209101	0.157105997	0.140760136	0.161301074	0.187396056	0.203594651	0.153962573	0.134331007	0.120807157	0.165305504	0.120724691	0.139668213	0.303074676	0.150406717	0.066937388	0.132971678	0.153389602	0.107409773	0.127790119	0.148213667	0.147363817	0.136940573	0.140520369	0.132588252	0.184442072	0.161820194	0.245995604	0.116904087	0	0.159239936	0.161589961	0.128692822	0.147636431	0.094827863	0.159923337	0.152311311	0.125999295	0.13416353	0.126580289	0.147156052	0.157254906	0.100787684	0.161123834	0.116701194	0.157933132	0.110080107	0.099481433	0.078378292	0.142725803	0.136532719	0.171409513	0.128126838	0.140954297	0.104623134	0.128616818	0.178970194	0.163067307	0.186246522	0.182410954
Italia	0.116889563	0.181384787	0.089482802	0.204470052	0.081479861	0.140866994	0.116054403	0.059469322	0.11933153	0.161990226	0.133991188	0.135480188	0.185730144	0.259911229	0.072170534	0.11664964	0.127710943	0.081105941	0.183757005	0.081164536	0.048622181	0.140383701	0.08665805	0.086352246	0.165086244	0.068948775	0.109910821	0.142942891	0.092997513	0.159239936	0	0.144290273	0.107315241	0.149216329	0.119670102	0.055588159	0.109597683	0.111849869	0.104662874	0.121092865	0.083838547	0.07125979	0.100708571	0.17530248	0.159087092	0.146708175	0.102064228	0.123819536	0.11181626	0.202652994	0.12566248	0.203209843	0.11434348	0.147875672	0.088626046	0.14007798	0.150215278	0.183611926	0.118202405	0.214289203
Malbec	0.079517539	0.088828276	0.129747788	0.105515654	0.134695984	0.101411775	0.155607171	0.119932032	0.161059279	0.094553911	0.073881231	0.143412503	0.095574842	0.31759514	0.155121091	0.128577466	0.116958835	0.122225887	0.108015576	0.131726542	0.116970226	0.074780664	0.130842312	0.139646401	0.085798232	0.126119374	0.185367992	0.139063107	0.117773351	0.161589961	0.144290273	0	0.108994908	0.057896187	0.120162146	0.142820761	0.18182332	0.090357607	0.113362739	0.114274064	0.16402309	0.099798047	0.117853554	0.083794216	0.10092947	0.073149566	0.098624979	0.127846222	0.130344246	0.097824069	0.091789713	0.102457673	0.125885314	0.071115146	0.119764054	0.098963964	0.072869293	0.098093408	0.138632571	0.253066457
Mataro	0.111054755	0.156676325	0.118804403	0.144014111	0.110457438	0.153323078	0.128104159	0.083810278	0.129240131	0.10530726	0.10904912	0.147913322	0.139737083	0.26959735	0.105503045	0.108289296	0.119839079	0.121145656	0.136624866	0.094711093	0.093077888	0.118187841	0.099104244	0.109363363	0.125795901	0.108537347	0.153879947	0.166947575	0.086743764	0.128692822	0.107315241	0.108994908	0	0.120769647	0.114652336	0.109644707	0.152357578	0.067446948	0.10491904	0.071966055	0.127895778	0.083124648	0.099727594	0.14976331	0.125908814	0.107210422	0.097321176	0.096862776	0.113135082	0.152613149	0.091595321	0.17034397	0.094012597	0.097832644	0.093138477	0.102209025	0.118528385	0.156078036	0.15465412	0.227515512
Melon	0.070937264	0.067814742	0.130188629	0.09746892	0.136569765	0.087687326	0.177780175	0.12640949	0.155686716	0.095927849	0.090244109	0.123786611	0.079383055	0.335140631	0.159668478	0.118926686	0.119011954	0.112287049	0.105092401	0.137436265	0.123082678	0.053200399	0.139637716	0.128846447	0.074924383	0.143951144	0.177512007	0.147669139	0.118416964	0.147636431	0.149216329	0.057896187	0.120769647	0	0.109805586	0.152583534	0.170125962	0.092365933	0.111681297	0.123810862	0.159614418	0.113487196	0.112698405	0.076290015	0.071506176	0.067736003	0.084405403	0.121409541	0.118126593	0.08931885	0.112325496	0.079790261	0.139054091	0.073627512	0.117438462	0.094998427	0.082049256	0.068124896	0.122484528	0.234208573
Merlot	0.118489045	0.14255	0.116116993	0.130715198	0.100476549	0.147259798	0.15390708	0.100990314	0.075975292	0.108474433	0.111540604	0.060581375	0.12975883	0.285808728	0.107654383	0.061787052	0.079044509	0.099792875	0.106273786	0.087691051	0.094125933	0.111969003	0.090511359	0.101027926	0.114915789	0.134348339	0.109882114	0.199154995	0.077357415	0.094827863	0.119670102	0.120162146	0.114652336	0.109805586	0	0.119188199	0.105246742	0.089960922	0.095388282	0.108488108	0.103238166	0.113486184	0.058535148	0.132151571	0.108086912	0.13555442	0.075231505	0.059333113	0.06327223	0.132692026	0.093086707	0.14106787	0.096010625	0.116669501	0.069997476	0.120740395	0.154252918	0.136753009	0.131276214	0.155621105
Meunier	0.11339302	0.180524707	0.077984556	0.20321099	0.072878267	0.140648735	0.090302909	0.066258663	0.121588084	0.158215124	0.12230881	0.1417271	0.183782229	0.245190814	0.06713275	0.117896358	0.116918727	0.07980255	0.177577217	0.070776873	0.052686851	0.137190334	0.075260655	0.097909396	0.160395535	0.060174325	0.112805578	0.151143273	0.085548742	0.159923337	0.055588159	0.142820761	0.109644707	0.152583534	0.119188199	0	0.125171343	0.104160042	0.094859238	0.108047405	0.08198121	0.07258965	0.098710847	0.179522587	0.160378248	0.150429407	0.1052356	0.121548453	0.109504812	0.198021223	0.108947645	0.203552761	0.091804408	0.139488799	0.079014931	0.142677704	0.153023874	0.185940104	0.129623801	0.218691821
Mller-Thurgau	0.164833496	0.206058422	0.138063034	0.210270224	0.112368609	0.187037254	0.176830116	0.107172767	0.088511566	0.18514153	0.17179233	0.097840036	0.202508646	0.297557463	0.10541176	0.115150436	0.145314231	0.121118094	0.191097165	0.119392429	0.105974769	0.17513186	0.121959107	0.09411215	0.196149416	0.141965634	0.059429889	0.202936361	0.112503198	0.152311311	0.109597683	0.18182332	0.152357578	0.170125962	0.105246742	0.125171343	0	0.139061162	0.145818942	0.163626096	0.09896273	0.14936076	0.116099553	0.193470705	0.169406084	0.188760046	0.129063251	0.11784838	0.11847866	0.215218865	0.163362006	0.209847305	0.156340082	0.188898768	0.115279482	0.176376052	0.203606556	0.199781727	0.121600712	0.146620148
Mondeuse	0.082795916	0.134281683	0.090845688	0.128369265	0.090342069	0.129264332	0.123467345	0.075997918	0.114541186	0.096979443	0.081810225	0.116805781	0.121948798	0.283492231	0.101145735	0.097972353	0.090142452	0.08954678	0.118716243	0.087515337	0.082757373	0.089548449	0.095211666	0.083622511	0.106763829	0.111672942	0.134848393	0.159906112	0.064614101	0.125999295	0.111849869	0.090357607	0.067446948	0.092365933	0.089960922	0.104160042	0.139061162	0	0.078725787	0.064505383	0.113756409	0.082762842	0.078172622	0.132520401	0.101038695	0.104952224	0.077463818	0.071533724	0.098402474	0.133877958	0.084283772	0.139727766	0.0886202	0.078773051	0.077131174	0.101707567	0.118584714	0.133436342	0.121124728	0.208823064
Muscat_blanc	0.075871419	0.133667178	0.056578641	0.157967342	0.077842315	0.109449312	0.1109988	0.08695387	0.117600239	0.119076983	0.083651218	0.109804976	0.131707212	0.253062888	0.099793635	0.104430929	0.059808645	0.068069785	0.135817915	0.068536252	0.081802541	0.088972356	0.09048867	0.10046172	0.104149566	0.11160823	0.138933941	0.175203009	0.088840646	0.13416353	0.104662874	0.113362739	0.10491904	0.111681297	0.095388282	0.094859238	0.145818942	0.078725787	0	0.068244148	0.091156288	0.082211705	0.072759388	0.155628792	0.12321058	0.124336413	0.061332498	0.083622825	0.091874179	0.149612047	0.092347313	0.164990185	0.076196989	0.095429669	0.073143712	0.115145677	0.133454067	0.147245244	0.12164726	0.208546505
