722.0000	719.0000
721.7677	719.8896
721.5226	720.7797
721.2519	721.6706
720.9427	722.5627
720.5825	723.4565
720.1585	724.3522
719.6714	725.2504
719.1389	726.1512
718.5799	727.0549
718.0135	727.9619
717.4585	728.8722
716.9339	729.7862
716.4496	730.7037
715.9907	731.6232
715.5384	732.5427
715.0737	733.4606
714.5776	734.3752
714.0312	735.2845
713.4220	736.1863
712.7665	737.0756
712.0905	737.9468
711.4191	738.7941
710.7779	739.6119
710.1923	740.3945
709.6849	741.1368
709.2390	741.8417
708.8114	742.5176
708.3582	743.1730
707.8355	743.8165
707.2042	744.4526
706.4725	745.0474
705.6754	745.5449
704.8483	745.8889
704.0266	746.0231
703.2452	745.8941
702.5291	745.4948
701.8950	744.8597
701.3591	744.0247
700.9377	743.0254
700.6470	741.8978
700.4904	740.6770
700.4319	739.3964
700.4278	738.0890
700.4343	736.7878
700.4076	735.5257
700.3041	734.3358
700.0801	733.2511
699.6981	732.3051
699.1760	731.5355
698.5603	730.9827
697.8975	730.6866
697.2341	730.6875
696.6003	730.9989
695.9839	731.5664
695.3662	732.3251
694.7286	733.2100
694.0524	734.1560
693.3193	735.0982
692.5287	735.9702
691.6987	736.7040
690.8482	737.2319
689.9965	737.4857
689.1625	737.3977
688.3640	736.9114
687.6082	736.0546
686.8976	734.8935
686.2346	733.4940
685.6216	731.9221
685.0613	730.2438
684.5560	728.5253
684.1082	726.8326
683.7203	725.2317
683.3934	723.7785
683.1187	722.4647
682.8835	721.2565
682.6755	720.1204
682.4821	719.0226
682.2905	717.9294
682.0884	716.8074
681.8639	715.6244
681.6157	714.3768
681.3513	713.0829
681.0779	711.7617
680.8032	710.4323
680.5345	709.1133
680.2794	707.8240
680.0453	706.5831
679.8379	705.4077
679.6490	704.2979
679.4644	703.2469
679.2695	702.2477
679.0498	701.2933
678.7909	700.3765
678.4792	699.4905
678.1143	698.6293
677.7065	697.7879
677.2666	696.9614
676.8054	696.1449
676.3333	695.3333
